"","Isolate","Accession","Instrument","Study","Source category","Facility","Assembly length (bp)","Number of contigs","N50","Coverage","Species","Sequence type"
"692","INT_CRE_547","SRR37387611","Illumina NovaSeq X","2021-23","Blood","LTACH 2",5682800,100,129842,437.317,"Klebsiella pneumoniae","ST258"
"693","INT_CRE_283","SRR37385343","Illumina NovaSeq X","2021-23","Respiratory","LTACH 2",5675912,108,130418,440.272,"Klebsiella pneumoniae","ST258"
"694","INT_CRE_787","SRR37387225","Illumina NovaSeq X","2021-23","Wound","LTACH 6",6032113,128,117532,431.589,"Klebsiella pneumoniae","ST258"
"695","INT_CRE_213","SRR37385529","Illumina NovaSeq X","2021-23","Blood","LTACH 13",5552445,64,217820,574.151,"Klebsiella pneumoniae","ST14"
"696","INT_CRE_471","SRR37387468","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5845659,72,181423,360.329,"Klebsiella pneumoniae","ST307"
"697","INT_CRE_984","SRR37387754","Illumina NovaSeq X","2021-23","Urine","LTACH 11",5693194,106,142433,475.907,"Klebsiella pneumoniae","ST258"
"698","INT_CRE_29","SRR37385337","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5456240,61,201541,407.501,"Klebsiella pneumoniae","ST14"
"699","INT_CRE_625","SRR37387595","Illumina NovaSeq X","2021-23","Respiratory","LTACH 7",5555320,127,168064,273.331,"Klebsiella pneumoniae","ST45"
"700","INT_CRE_1192","SRR37385911","Illumina NovaSeq X","2021-23","Blood","LTACH 6",5424207,59,184721,398.519,"Klebsiella pneumoniae","ST14"
"701","INT_CRE_1330","SRR37385446","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5419300,58,192726,419.87,"Klebsiella pneumoniae","ST14"
"702","INT_CRE_1127","SRR37385248","Illumina NovaSeq X","2021-23","Respiratory","LTACH 12",5709373,111,100050,354.962,"Klebsiella pneumoniae","ST11"
"703","INT_CRE_668","SRR37387375","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5473729,65,185524,407.294,"Klebsiella pneumoniae","ST14"
"704","INT_CRE_986","SRR37387751","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5582821,100,132759,450.192,"Klebsiella pneumoniae","ST258"
"705","INT_CRE_796","SRR37387556","Illumina NovaSeq X","2021-23","Respiratory","LTACH 2",5515461,100,143457,477.731,"Klebsiella pneumoniae","ST258"
"706","INT_CRE_62","SRR37387600","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5406824,54,217814,507.047,"Klebsiella pneumoniae","ST14"
"707","INT_CRE_848","SRR37387210","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5695046,49,266580,482.042,"Klebsiella pneumoniae","ST35"
"708","INT_CRE_1350","SRR37385562","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5638288,94,132657,447.268,"Klebsiella pneumoniae","ST258"
"709","INT_CRE_752","SRR37387357","Illumina NovaSeq X","2021-23","Respiratory","LTACH 7",5295317,52,201542,424.487,"Klebsiella pneumoniae","ST14"
"710","INT_CRE_1214","SRR37385484","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5476636,79,185395,374.23,"Klebsiella pneumoniae","ST258"
"711","INT_CRE_609","SRR37387269","Illumina NovaSeq X","2021-23","Wound","LTACH 2",5213263,77,163112,231.775,"Klebsiella pneumoniae","ST3639"
"712","INT_CRE_1499","SRR37385296","Illumina NovaSeq X","2021-23","Blood","LTACH 1",5671584,115,126390,880.915,"Klebsiella pneumoniae","ST258"
"713","INT_CRE_103","SRR37385690","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5458390,78,213451,454.86,"Klebsiella pneumoniae","ST17"
"714","INT_CRE_710","SRR37387574","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5801229,110,158577,464.157,"Klebsiella pneumoniae","ST3130"
"715","INT_CRE_99","SRR37387747","Illumina NovaSeq X","2021-23","Blood","LTACH 7",5446514,77,178855,549.943,"Klebsiella pneumoniae","ST258"
"716","INT_CRE_824","SRR37387800","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5718730,71,240747,507.97,"Klebsiella pneumoniae","ST307"
"717","INT_CRE_627","SRR37387593","Illumina NovaSeq X","2021-23","Wound","LTACH 3",5417562,68,185309,254.692,"Klebsiella pneumoniae","ST14"
"718","INT_CRE_574","SRR37387857","Illumina NovaSeq X","2021-23","Blood","LTACH 1",5443264,56,192761,251.542,"Klebsiella pneumoniae","ST14"
"719","INT_CRE_1428","SRR37385839","Illumina NovaSeq X","2021-23","Wound","LTACH 3",5536893,87,155569,435.602,"Klebsiella pneumoniae","ST258"
"720","INT_CRE_289","SRR37385338","Illumina NovaSeq X","2021-23","Respiratory","LTACH 7",5613919,69,200765,397.362,"Klebsiella pneumoniae","ST307"
"721","INT_CRE_1347","SRR37385428","Illumina NovaSeq X","2021-23","Blood","LTACH 1",5363356,77,185785,475.616,"Klebsiella pneumoniae","ST17"
"722","INT_CRE_544","SRR37387614","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5651547,84,157590,316.345,"Klebsiella pneumoniae","ST258"
"723","INT_CRE_263","SRR37385506","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5652863,85,189689,500.337,"Klebsiella pneumoniae","ST258"
"724","INT_CRE_1010","SRR37385391","Illumina NovaSeq X","2021-23","Urine","LTACH 4",5518491,59,201433,351.79,"Klebsiella pneumoniae","ST14"
"725","INT_CRE_353","SRR37387242","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5531953,63,167562,404.68,"Klebsiella pneumoniae","ST307-1LV"
"726","INT_CRE_441","SRR37387318","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5445815,53,201270,424.793,"Klebsiella pneumoniae","ST14"
"727","INT_CRE_654","SRR37387841","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5442930,60,192727,447.548,"Klebsiella pneumoniae","ST14"
"728","INT_CRE_12","SRR37385903","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5461192,72,185449,325.254,"Klebsiella pneumoniae","ST17"
"729","INT_CRE_628","SRR37387592","Illumina NovaSeq X","2021-23","Urine","LTACH 9",5383159,74,205488,256.236,"Klebsiella pneumoniae","ST258"
"730","INT_CRE_641","SRR37387581","Illumina NovaSeq X","2021-23","Respiratory","LTACH 9",5449157,115,196781,309.414,"Klebsiella pneumoniae","ST258"
"731","INT_CRE_176","SRR37385808","Illumina NovaSeq X","2021-23","Blood","LTACH 7",5343923,67,172419,417.502,"Klebsiella pneumoniae","ST17"
"732","INT_CRE_136","SRR37385552","Illumina NovaSeq X","2021-23","Respiratory","LTACH 7",5337472,61,232427,541.78,"Klebsiella pneumoniae","ST17"
"733","INT_CRE_304","SRR37385637","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5334242,66,240775,350.633,"Klebsiella pneumoniae","ST17"
"734","INT_CRE_1498","SRR37385297","Illumina NovaSeq X","2021-23","Respiratory","LTACH 12",5649421,95,130479,929.794,"Klebsiella pneumoniae","ST258"
"735","INT_CRE_262","SRR37385507","Illumina NovaSeq X","2021-23","Respiratory","LTACH 13",5589336,53,269124,565.225,"Klebsiella pneumoniae","ST45"
"736","INT_CRE_429","SRR37387333","Illumina NovaSeq X","2021-23","Wound","LTACH 3",5634620,89,198141,359.775,"Klebsiella pneumoniae","ST258"
"737","INT_CRE_314","SRR37385625","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5664600,114,124812,377.221,"Klebsiella pneumoniae","ST258"
"738","INT_CRE_1283","SRR37385453","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5467119,59,192727,462.923,"Klebsiella pneumoniae","ST14"
"739","INT_CRE_143","SRR37385837","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5809927,96,129803,509.352,"Klebsiella pneumoniae","ST258"
"740","INT_CRE_1492","SRR37385303","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5780850,82,190582,839.411,"Klebsiella pneumoniae","ST997"
"741","INT_CRE_192","SRR37385790","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5395920,53,217814,523.181,"Klebsiella pneumoniae","ST14"
"742","INT_CRE_31","SRR37385631","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5778704,104,135691,374.24,"Klebsiella pneumoniae","ST258"
"743","INT_CRE_1121","SRR37385255","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5645720,69,201540,278.103,"Klebsiella pneumoniae","ST14"
"744","INT_CRE_617","SRR37387604","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5408935,54,217814,212.746,"Klebsiella pneumoniae","ST14"
"745","INT_CRE_1464","SRR37385610","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5615003,66,217820,482.187,"Klebsiella pneumoniae","ST14"
"746","INT_CRE_378","SRR37387488","Illumina NovaSeq X","2021-23","Blood","LTACH 12",5605311,91,232976,390.603,"Klebsiella pneumoniae","ST17"
"747","INT_CRE_197","SRR37385784","Illumina NovaSeq X","2021-23","Respiratory","LTACH 8",5680194,76,164417,513.019,"Klebsiella pneumoniae","ST307"
"748","INT_CRE_923","SRR37387726","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5446206,81,138938,436.488,"Klebsiella pneumoniae","ST258"
"749","INT_CRE_916","SRR37387732","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5446346,77,139046,417.705,"Klebsiella pneumoniae","ST258"
"750","INT_CRE_1176","SRR37385726","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5414698,55,217814,400.133,"Klebsiella pneumoniae","ST14"
"751","INT_CRE_124","SRR37385701","Illumina NovaSeq X","2021-23","Respiratory","LTACH 13",5553404,83,139046,501.963,"Klebsiella pneumoniae","ST258"
"752","INT_CRE_1163","SRR37385738","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5820569,61,184508,310.815,"Klebsiella pneumoniae","ST307"
"753","INT_CRE_598","SRR37387285","Illumina NovaSeq X","2021-23","Urine","LTACH 11",5468647,46,269124,216.228,"Klebsiella pneumoniae","ST45"
"754","INT_CRE_1418","SRR37385850","Illumina NovaSeq X","2021-23","Urine","LTACH 11",5393815,55,298472,427.905,"Klebsiella pneumoniae","ST2943"
"755","INT_CRE_778","SRR37387233","Illumina NovaSeq X","2021-23","Respiratory","LTACH 11",5677391,53,250344,523.95,"Klebsiella pneumoniae","ST45"
"756","INT_CRE_360","SRR37387226","Illumina NovaSeq X","2021-23","Wound","LTACH 12",5509312,63,176429,464.397,"Klebsiella pneumoniae","ST14"
"757","INT_CRE_351","SRR37387361","Illumina NovaSeq X","2021-23","Wound","LTACH 12",5608635,99,172489,403.096,"Klebsiella pneumoniae","ST17"
"758","INT_CRE_605","SRR37387274","Illumina NovaSeq X","2021-23","Blood","LTACH 5",5375541,48,209792,264.031,"Klebsiella pneumoniae","ST23"
"759","INT_CRE_4","SRR37387483","Illumina NovaSeq X","2021-23","Wound","LTACH 4",5701744,103,129409,546.717,"Klebsiella pneumoniae","ST258"
"760","INT_CRE_39","SRR37387664","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5447783,62,185517,434.649,"Klebsiella pneumoniae","ST14"
"761","INT_CRE_368","SRR37387706","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5606045,87,172489,404.437,"Klebsiella pneumoniae","ST17"
"762","INT_CRE_1399","SRR37385419","Illumina NovaSeq X","2021-23","Wound","LTACH 12",5649438,91,141456,486.633,"Klebsiella pneumoniae","ST258"
"763","INT_CRE_1241","SRR37385699","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5630406,63,200656,464.702,"Klebsiella pneumoniae","ST307"
"764","INT_CRE_657","SRR37387838","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5625520,69,193255,519.584,"Klebsiella pneumoniae","ST307"
"765","INT_CRE_703","SRR37387239","Illumina NovaSeq X","2021-23","Urine","LTACH 5",5630425,71,194606,318.182,"Klebsiella pneumoniae","ST307"
"766","INT_CRE_1040","SRR37385407","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5467401,58,201432,401.195,"Klebsiella pneumoniae","ST14"
"767","INT_CRE_1158","SRR37385566","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5475430,58,217822,338.829,"Klebsiella pneumoniae","ST14"
"768","INT_CRE_165","SRR37385822","Illumina NovaSeq X","2021-23","Blood","LTACH 1",5438731,56,201379,440.008,"Klebsiella pneumoniae","ST14"
"769","INT_CRE_13","SRR37385682","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5661488,88,142930,386.562,"Klebsiella pneumoniae","ST258"
"770","INT_CRE_853","SRR37387205","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5450744,59,196508,549.442,"Klebsiella pneumoniae","ST485"
"771","INT_CRE_1012","SRR37385249","Illumina NovaSeq X","2021-23","Respiratory","LTACH 11",5588437,67,204003,569.772,"Klebsiella pneumoniae","ST307"
"772","INT_CRE_1223","SRR37385719","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5292777,61,172419,467.759,"Klebsiella pneumoniae","ST17"
"773","INT_CRE_1210","SRR37385489","Illumina NovaSeq X","2021-23","Wound","LTACH 1",5848206,64,203958,336.072,"Klebsiella pneumoniae","ST307"
"774","INT_CRE_1041","SRR37385846","Illumina NovaSeq X","2021-23","Respiratory","LTACH 11",5603816,90,149642,401.818,"Klebsiella pneumoniae","ST258"
"775","INT_CRE_1042","SRR37385835","Illumina NovaSeq X","2021-23","Urine","LTACH 10",5448138,78,192763,448.196,"Klebsiella pneumoniae","ST17"
"776","INT_CRE_663","SRR37387380","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5405436,57,185309,404.995,"Klebsiella pneumoniae","ST14"
"777","INT_CRE_364","SRR37387799","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5638778,100,142736,423.408,"Klebsiella pneumoniae","ST258"
"778","INT_CRE_952","SRR37387681","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5706209,105,102431,314.074,"Klebsiella pneumoniae","ST11"
"779","INT_CRE_1419","SRR37385849","Illumina NovaSeq X","2021-23","Blood","LTACH 12",5689161,109,108438,496.105,"Klebsiella pneumoniae","ST11"
"780","INT_CRE_1173","SRR37385730","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5701363,103,112897,374.772,"Klebsiella pneumoniae","ST11"
"781","INT_CRE_871","SRR37387528","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5706847,95,126805,518.211,"Klebsiella pneumoniae","ST11"
"782","INT_CRE_203","SRR37385536","Illumina NovaSeq X","2021-23","Blood","LTACH 4",5482593,60,176285,512.112,"Klebsiella pneumoniae","ST14"
"783","INT_CRE_507","SRR37387408","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5331140,53,190681,442.706,"Klebsiella pneumoniae","ST14"
"784","INT_CRE_104","SRR37385418","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5624103,98,146771,439.433,"Klebsiella pneumoniae","ST258"
"785","INT_CRE_195","SRR37385786","Illumina NovaSeq X","2021-23","Blood","LTACH 10",5601874,92,129842,524.975,"Klebsiella pneumoniae","ST258"
"786","INT_CRE_359","SRR37387344","Illumina NovaSeq X","2021-23","Respiratory","LTACH 13",5680994,97,130050,398.629,"Klebsiella pneumoniae","ST258"
"787","INT_CRE_1429","SRR37385838","Illumina NovaSeq X","2021-23","Wound","LTACH 1",5522063,85,185395,402.186,"Klebsiella pneumoniae","ST258"
"788","INT_CRE_698","SRR37387248","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5533105,90,131881,289.29,"Klebsiella pneumoniae","ST258"
"789","INT_CRE_733","SRR37387825","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5508944,95,140350,429.744,"Klebsiella pneumoniae","ST258"
"790","INT_CRE_558","SRR37387876","Illumina NovaSeq X","2021-23","Urine","LTACH 4",5487505,62,192727,298.739,"Klebsiella pneumoniae","ST14"
"791","INT_CRE_882","SRR37387518","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5638977,104,164292,478.736,"Klebsiella pneumoniae","ST307"
"792","INT_CRE_177","SRR37385807","Illumina NovaSeq X","2021-23","Blood","LTACH 4",5445519,56,217814,401.303,"Klebsiella pneumoniae","ST14"
"793","INT_CRE_1069","SRR37385325","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5474935,59,217822,373.827,"Klebsiella pneumoniae","ST14"
"794","INT_CRE_1039","SRR37385651","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5526557,56,275348,456.037,"Klebsiella pneumoniae","ST35"
"795","INT_CRE_1111","SRR37385386","Illumina NovaSeq X","2021-23","Wound","LTACH 5",5524406,49,259566,391.843,"Klebsiella pneumoniae","ST35"
"796","INT_CRE_149","SRR37385590","Illumina NovaSeq X","2021-23","Respiratory","LTACH 11",5244555,74,152087,560.274,"Klebsiella pneumoniae","ST258"
"797","INT_CRE_893","SRR37387784","Illumina NovaSeq X","2021-23","Blood","LTACH 11",5517374,68,179162,471.283,"Klebsiella pneumoniae","ST70"
"798","INT_CRE_457","SRR37387641","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5489729,76,147308,398.749,"Klebsiella pneumoniae","ST25"
"799","INT_CRE_1194","SRR37385907","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5481907,57,217814,420.974,"Klebsiella pneumoniae","ST14"
"800","INT_CRE_199","SRR37385782","Illumina NovaSeq X","2021-23","Urine","LTACH 5",5642001,94,132662,564.193,"Klebsiella pneumoniae","ST258"
"801","INT_CRE_535","SRR37387622","Illumina NovaSeq X","2021-23","Wound","LTACH 3",5447824,60,201541,365.077,"Klebsiella pneumoniae","ST14"
"802","INT_CRE_658","SRR37387837","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5446444,61,177440,473.73,"Klebsiella pneumoniae","ST14"
"803","INT_CRE_743","SRR37387815","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5445436,60,192727,449.16,"Klebsiella pneumoniae","ST14"
"804","INT_CRE_1363","SRR37385548","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5376504,51,203694,460.626,"Klebsiella pneumoniae","ST14"
"805","INT_CRE_238","SRR37385771","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5285463,48,323162,262.976,"Klebsiella pneumoniae","ST1547"
"806","INT_CRE_960","SRR37387505","Illumina NovaSeq X","2021-23","Urine","LTACH 1",5622828,82,143404,300.123,"Klebsiella pneumoniae","ST258"
"807","INT_CRE_156","SRR37385276","Illumina NovaSeq X","2021-23","Urine","LTACH 4",5447562,56,203736,483.218,"Klebsiella pneumoniae","ST14"
"808","INT_CRE_188","SRR37385794","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",6247131,248,107745,575.746,"Klebsiella pneumoniae","ST14"
"809","INT_CRE_1349","SRR37385564","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5846417,66,170731,463.998,"Klebsiella pneumoniae","ST307"
"810","INT_CRE_1090","SRR37385619","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5654632,86,152204,351.184,"Klebsiella pneumoniae","ST258"
"811","INT_CRE_577","SRR37387404","Illumina NovaSeq X","2021-23","Wound","LTACH 9",5672202,96,154480,242.792,"Klebsiella pneumoniae","ST258"
"812","INT_CRE_1466","SRR37385608","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5538610,70,196113,432.58,"Klebsiella pneumoniae","ST307"
"813","INT_CRE_957","SRR37387508","Illumina NovaSeq X","2021-23","Respiratory","LTACH 13",5694304,103,129837,310.408,"Klebsiella pneumoniae","ST258"
"814","INT_CRE_296","SRR37385647","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5551961,96,140809,284.115,"Klebsiella pneumoniae","ST258"
"815","INT_CRE_713","SRR37387570","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5455923,60,185308,449.888,"Klebsiella pneumoniae","ST14"
"816","INT_CRE_895","SRR37387782","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5480549,85,140283,405.066,"Klebsiella pneumoniae","ST258"
"817","INT_CRE_286","SRR37385340","Illumina NovaSeq X","2021-23","Respiratory","LTACH 12",5528095,72,152440,363.927,"Klebsiella pneumoniae","ST14"
"818","INT_CRE_341","SRR37387861","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5675629,92,149642,453.564,"Klebsiella pneumoniae","ST258"
"819","INT_CRE_443","SRR37387316","Illumina NovaSeq X","2021-23","Wound","LTACH 12",5665352,128,178412,410.467,"Klebsiella pneumoniae","ST17"
"820","INT_CRE_1032","SRR37385861","Illumina NovaSeq X","2021-23","Other","LTACH 1",5466479,58,201540,447.053,"Klebsiella pneumoniae","ST14"
"821","INT_CRE_42","SRR37387440","Illumina NovaSeq X","2021-23","Respiratory","LTACH 9",5732832,97,139046,414.011,"Klebsiella pneumoniae","ST258"
"822","INT_CRE_217","SRR37385525","Illumina NovaSeq X","2021-23","Respiratory","LTACH 9",5729214,99,149472,469.024,"Klebsiella pneumoniae","ST258"
"823","INT_CRE_297","SRR37385646","Illumina NovaSeq X","2021-23","Wound","LTACH 9",5722306,111,128611,389.69,"Klebsiella pneumoniae","ST258"
"824","INT_CRE_151","SRR37385285","Illumina NovaSeq X","2021-23","Respiratory","LTACH 7",5614034,62,215853,508.88,"Klebsiella pneumoniae","ST307"
"825","INT_CRE_119","SRR37385914","Illumina NovaSeq X","2021-23","Respiratory","LTACH 7",5625098,94,150834,462.604,"Klebsiella pneumoniae","ST258"
"826","INT_CRE_1035","SRR37385426","Illumina NovaSeq X","2021-23","Respiratory","LTACH 12",5625626,106,102669,355.592,"Klebsiella pneumoniae","ST11"
"827","INT_CRE_152","SRR37385280","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5602641,54,236640,554.867,"Klebsiella pneumoniae","ST307"
"828","INT_CRE_298","SRR37385645","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5605970,60,182727,389.618,"Klebsiella pneumoniae","ST307"
"829","INT_CRE_179","SRR37385805","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5644856,91,157661,491.788,"Klebsiella pneumoniae","ST258"
"830","INT_CRE_438","SRR37387322","Illumina NovaSeq X","2021-23","Respiratory","LTACH 8",5483098,65,308615,406.073,"Klebsiella pneumoniae","ST35"
"831","INT_CRE_989","SRR37387748","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5534268,123,110840,422.898,"Klebsiella pneumoniae","ST258"
"832","INT_CRE_499","SRR37387419","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5681946,114,108673,446.291,"Klebsiella pneumoniae","ST258"
"833","INT_CRE_380","SRR37387675","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5680425,113,110840,425.417,"Klebsiella pneumoniae","ST258"
"834","INT_CRE_699","SRR37387247","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5673636,131,110609,467.374,"Klebsiella pneumoniae","ST258"
"835","INT_CRE_644","SRR37387853","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5621902,72,159563,455.893,"Klebsiella pneumoniae","ST35"
"836","INT_CRE_1361","SRR37385550","Illumina NovaSeq X","2021-23","Blood","LTACH 4",5704917,93,149642,441.886,"Klebsiella pneumoniae","ST258"
"837","INT_CRE_2","SRR37385781","Illumina NovaSeq X","2021-23","Urine","LTACH 7",5487767,79,183964,476.308,"Klebsiella pneumoniae","ST17"
"838","INT_CRE_1345","SRR37385430","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5628427,68,182862,447.788,"Klebsiella pneumoniae","ST307"
"839","INT_CRE_1344","SRR37385431","Illumina NovaSeq X","2021-23","Wound","LTACH 5",5587395,56,226520,454.184,"Klebsiella pneumoniae","ST307"
"840","INT_CRE_1190","SRR37385913","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5624862,63,182346,452.216,"Klebsiella pneumoniae","ST307"
"841","INT_CRE_948","SRR37387686","Illumina NovaSeq X","2021-23","Blood","LTACH 3",5656632,92,143404,429.093,"Klebsiella pneumoniae","ST258"
"842","INT_CRE_147","SRR37385607","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5336226,52,250192,445.162,"Klebsiella pneumoniae","ST17"
"843","INT_CRE_1024","SRR37385709","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5376070,53,217814,424.718,"Klebsiella pneumoniae","ST14"
"844","INT_CRE_266","SRR37385502","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5736102,91,157590,451.717,"Klebsiella pneumoniae","ST258"
"845","INT_CRE_1281","SRR37385455","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5375955,52,217814,535.775,"Klebsiella pneumoniae","ST14"
"846","INT_CRE_775","SRR37387236","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5345226,50,273658,453.063,"Klebsiella pneumoniae","ST14"
"847","INT_CRE_1583","SRR37385268","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5537965,86,149642,184.264,"Klebsiella pneumoniae","ST258"
"848","INT_CRE_914","SRR37387736","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5532741,83,140350,498.274,"Klebsiella pneumoniae","ST258"
"849","INT_CRE_354","SRR37387573","Illumina NovaSeq X","2021-23","Urine","LTACH 7",5255291,57,231669,395.537,"Klebsiella pneumoniae","ST661-1LV"
"850","INT_CRE_1446","SRR37385371","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5594033,80,157502,442.813,"Klebsiella pneumoniae","ST258"
"851","INT_CRE_982","SRR37387756","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5567275,74,154739,475.297,"Klebsiella pneumoniae","ST258"
"852","INT_CRE_1081","SRR37385312","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5770886,90,129803,436.888,"Klebsiella pneumoniae","ST258"
"853","INT_CRE_1115","SRR37385383","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5571439,88,129803,316.022,"Klebsiella pneumoniae","ST258"
"854","INT_CRE_1102","SRR37385394","Illumina NovaSeq X","2021-23","Urine","LTACH 11",5685424,121,124811,451.693,"Klebsiella pneumoniae","ST258"
"855","INT_CRE_1383","SRR37385659","Illumina NovaSeq X","2021-23","Blood","LTACH 12",5448424,77,157618,421.348,"Klebsiella pneumoniae","ST258"
"856","INT_CRE_131","SRR37385873","Illumina NovaSeq X","2021-23","Respiratory","LTACH 8",5601649,73,178644,522.934,"Klebsiella pneumoniae","ST987"
"857","INT_CRE_943","SRR37387692","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5535353,80,151522,377.157,"Klebsiella pneumoniae","ST258"
"858","INT_CRE_1130","SRR37385754","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5547768,93,150580,292.823,"Klebsiella pneumoniae","ST258"
"859","INT_CRE_294","SRR37385331","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5702395,115,129224,407.73,"Klebsiella pneumoniae","ST25"
"860","INT_CRE_681","SRR37387360","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5535364,63,201378,399.335,"Klebsiella pneumoniae","ST14"
"861","INT_CRE_40","SRR37387482","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5530393,80,149642,394.177,"Klebsiella pneumoniae","ST258"
"862","INT_CRE_484","SRR37387886","Illumina NovaSeq X","2021-23","Urine","LTACH 4",5475191,57,192761,398.824,"Klebsiella pneumoniae","ST14"
"863","INT_CRE_557","SRR37387877","Illumina NovaSeq X","2021-23","Blood","LTACH 4",5526424,102,201378,305.796,"Klebsiella pneumoniae","ST14"
"864","INT_CRE_1490","SRR37385305","Illumina NovaSeq X","2021-23","Respiratory","LTACH 12",5647688,84,143531,946.872,"Klebsiella pneumoniae","ST258"
